References	Quantity	Mouser	Farnell	Newark	Digikey	RS
C1-C6	6	80-C0603C104K5R	1288255	72J5992	399-5089-1-ND	773-8601
C7,C8,C9	3	80-C0603C105Z8V	1759398	 84K8389	399-3216-1-ND	515-8479
C10,C11	2	74-293D106X0010A2TE3	2333094	75M2895	718-1118-1-ND	548-3719
I/O	1	571-5103308-1	8395918	39K0556	A33159-ND	719-0002
IC1	1	579-PIC24F64GA002ISS	2315916	40M1449	PIC24FJ64GA002-I/SS-ND	400-750
IC2	1	895-FT232RL	1146032	91K9918	768-1007-1-ND	406580P
IC3	1	595-CD4066BPWR	2342308	01X2941	296-14123-1-ND	662-2669P
J1	1	649-10033526-N3212LF	9786473	16M2760	WM3895CT-ND	515-1995
L1	1	81-BLM21P331SG	1515663	73M9169	490-5988-1-ND	724-1545
LED1-LED2,LED2A-LED2,LED3A-LED2,LED4A,LED4A	8	645-598-8110-107F	1465992	75R0581	350-2038-1-ND	419-209
R1,R5	2	71-CRCW0603-2.0K-E3	1469764	52K8223	541-2.00KSCT-ND	820-6815
R2,R3,R4,R6	4	71-CRCW0603-1.0K-E3	1469740	52K8015	541-1.00KSCT-ND	678-9875
RN1,RN2,RN3	3	660-CN1J4KTTD103J	1703824	50B2282	Y9103CT-ND	522-5412
VR1,VR2	2	579-MCP1801T-3302IOT	1578370	54M4830	MCP1801T-3302I/OTCT-ND	6694939P
VR3	1	579-MCP1801T-5002IOT	1578371	08N6445	MCP1801T-5002I/OTDKR-ND	6694948P
