Schematic Reference,Manufacturer,MPN,Qty,Description,SKU,SKU,SKU
,,,,,Digi-Key,Mouser,Newark
"C9, C11",Johanson,500R14N220JV4T,2,22pF capacitor ceramic,709-1143-1-ND,,
"C9, C11",Multicomp,MC0603N220J500CT,2,22pF capacitor ceramic,,,06R5149
"C9, C11",Vishay Vitramon,VJ0603A220KXQPW1BC,2,22pF capacitor ceramic,,VJ0603A220KXQPW1BC,57J8958
"C1, C2, C4, C5, C6, C7",Yageo,CC0603KRX7R9BB104,6,100nF capacitor ceramic,311-1344-1-ND,CC0603KRX7R9BB104,68R4788
"C1, C2, C4, C5, C6, C7",Kemet,C0603C104K5RACTU,6,100nF capacitor ceramic,399-5089-1-ND,C0603C104K5RACTU,72J5992
"C1, C2, C4, C5, C6, C7",Murata,GRM188R71H104KA93D,6,100nF capacitor ceramic,490-1519-1-ND,GRM188R71H104KA93D,38K1670
"C3, C8",Murata,GRM188R60J105KA01D,2,1uF capacitor ceramic 6.3V,490-1550-1-ND,GRM188R60J105KA01D,57K9489
"C3, C8",TDK,C1608X5R1A105MT,2,1uF capacitor ceramic 10V,,,
"PC1, PC2",United Chemi-Con,EMVA250ADA470MF55G,2,47uF electrolytic capacitor SMT,565-2103-1-ND,EMVA250ADA470MF55G,76K1185
"PC1, PC2",Cornell Dubilier,AVE476M50X16T-F,2,47uF electrolytic capacitor SMT,AVE476M50X16T-F-ND,AVE476M50X16T-F,01P4862
X1,CUI,PJ-102A,1,2.1mm DC power jack,CP-102A-ND,PJ-102A,
X2,On Shore Technology,USB-B1HSW6,1,USB type B connector right-angle _ white,ED2982-ND,,
X2,On Shore Technology,USB-B1HSB6,1,USB type B connector right-angle _ black,ED2983-ND,,
JP2,FCI,67996-404HLF,1,Pin header 0.1_ 2x2,609-3390-ND,67996-404HLF,75K3860
"ICSP, ICSP1",FCI,67996-406HLF,2,Pin header 0.1_ 2x3,609-3218-ND,67996-406HLF,20M2191
AD,Harwin,M20-7820646,1,Socket strip 0.1_ 1x6,952-1809-ND,M20-7820646,55K6988
AD,TE Connectivity / AMP,5-534237-4,1,Socket strip 0.1_ 1x6,A32907-ND,5-534237-4,62M8851
"IOL, POWER",3M,960108-6202-AR,2,Socket strip 0.1_ 1x8,3M9518-ND,960108-6202-AR,62R6734
"IOL, POWER",Harwin,M20-7820842,2,Socket strip 0.1_ 1x8,952-1823-ND,M20-7820842,55K6995
IOH,Harwin,M20-7821046,1,Socket strip 0.1_ 1x10,952-1847-ND,M20-7821046,38K5906
IOH,TE Connectivity,5-534237-8,1,Socket strip 0.1_ 1x10,A32910-ND,5-534237-8,52K3746
Y1,CTS Components,ATS16B,1,16MHz 18pF,CTX1085-ND,ATS16B,
Y1,Abracon,ABL-16.000MHZ-B2,1,16MHz 18pF,535-9041-ND,ABL-16.000MHZ-B2,13J1628
"D2, D3",Bourns,CD1206-S01575,2,Switching diode,CD1206-S01575CT-ND,CD1206-S01575,02J1248
D1,Diodes Inc.,S2M-13-F,1,Switching diode,S2M-FDICT-ND,S2M-13-F,
D1,Fairchild Semiconductor,S2J,1,Switching diode,S2JFSCT-ND,S2J,58K2394
L1,Murata,BLM21PG221SN1D,1,Ferrite 50mOhm@DC / 220ohm@100MHz,490-1054-1-ND,BLM21PG221SN1D,73M9167
F1,Bourns,MF-MSMF050-2,1,Fuse 500mA 15V,MF-MSMF050-2CT-ND,MF-MSMF050-2,87W6084
U3,Atmel,ATMEGA16U2-MUR,1,ATmega16U2 16kB FLASH,ATMEGA16U2-MURCT-ND,,28X3310
