Git Link	Gerbers	Drill	Yaml	.tsv BOM	Comments
https://github.com/kitnic/arduino-uno	OK	OK	OK		
https://github.com/kitnic/Bus_Pirate					
https://github.com/kitnic/CC2538-dev-board					
https://github.com/kitnic/mchck-board					
https://github.com/kitnic/RiftDK1					
https://github.com/kitnic/HACK					Board appears OK. No website link. No BOM
https://github.com/kitnic/FM_Transmitter					
https://github.com/kasbah/nomech					
https://github.com/kasbah/push-on-hold-off					
https://github.com/kitnic/BQ25570_Harvester	OK	OK	OK		"BOM largely correct, some errors corrected, not checked 100% so likely more"
